,route,IATA_O,IATA_D,HH_ISO_D,region_D,HH_ISO_O,region_O,LegHH_ISO,LegRegion,Origin,Destination,fixRoute_1,Leg_fixRoute_1,fixRoute_2,Leg_fixRoute_2,fixRoute_3,Leg_fixRoute_3
17695,ZAG-CPH,ZAG,CPH,DNK,Europe,HRV,Europe,HRV-DNK,Europe-Europe,ZAG,CPH,ZAG->MUC->CPH,2,ZAG->FRA->CPH,2,ZAG->BRU->CPH,2
17696,ZAG-ORY,ZAG,ORY,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,ORY,ZAG->AMS->ORY,2,ZAG->AMS->ORY,2,ZAG->AMS->ORY,2
17697,ZAG-STN,ZAG,STN,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,STN,ZAG->FRA->STN,2,ZAG->STR->DUB->STN,3,ZAG->STR->CPH->STN,3
17698,ZAG-BHX,ZAG,BHX,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,BHX,ZAG->FRA->BHX,2,ZAG->AMS->BHX,2,ZAG->CDG->BHX,2
17699,ZAG-LGG,ZAG,LGG,BEL,Europe,HRV,Europe,HRV-BEL,Europe-Europe,ZAG,LGG,ZAG->VIE->LGG,2,ZAG->AMS->DUB->LGG,3,ZAG->VIE->LGG,2
17700,ZAG-MMX,ZAG,MMX,SWE,Europe,HRV,Europe,HRV-SWE,Europe-Europe,ZAG,MMX,ZAG->CGN->MMX,2,ZAG->CGN->MMX,2,ZAG->CGN->MMX,2
17701,ZAG-ZIA,ZAG,ZIA,RUS,Europe,HRV,Europe,HRV-RUS,Europe-Europe,ZAG,ZIA,ZAG->SVO->ALA->ZIA,3,ZAG->VIE->LED->ALA->ZIA,4,ZAG->VIE->LED->ALA->ZIA,4
17702,ZAG-CGN,ZAG,CGN,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,CGN,ZAG->CGN,1,ZAG->CGN,1,ZAG->CGN,1
17703,ZAG-RIX,ZAG,RIX,LVA,Europe,HRV,Europe,HRV-LVA,Europe-Europe,ZAG,RIX,ZAG->VIE->RIX,2,ZAG->SVO->RIX,2,ZAG->AMS->RIX,2
17704,ZAG-DUS,ZAG,DUS,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,DUS,ZAG->ZRH->DUS,2,ZAG->AMS->DUS,2,ZAG->VIE->DUS,2
17705,ZAG-PHL,ZAG,PHL,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,PHL,ZAG->FRA->PHL,2,ZAG->CGN->PHL,2,ZAG->CGN->PHL,2
17706,ZAG-TXL,ZAG,TXL,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,TXL,ZAG->CDG->TXL,2,ZAG->VIE->TXL,2,ZAG->VIE->TXL,2
17707,ZAG-FAO,ZAG,FAO,PRT,Europe,HRV,Europe,HRV-PRT,Europe-Europe,ZAG,FAO,ZAG->MUC->FAO,2,ZAG->AMS->BHX->FAO,3,ZAG->CGN->FAO,2
17708,ZAG-GOT,ZAG,GOT,SWE,Europe,HRV,Europe,HRV-SWE,Europe-Europe,ZAG,GOT,ZAG->FRA->GOT,2,ZAG->ZRH->GOT,2,ZAG->BRU->TXL->GOT,3
17709,ZAG-ALC,ZAG,ALC,ESP,Europe,HRV,Europe,HRV-ESP,Europe-Europe,ZAG,ALC,ZAG->MUC->STN->ALC,3,ZAG->AMS->ALC,2,ZAG->AMS->LTN->ALC,3
17710,ZAG-SVQ,ZAG,SVQ,ESP,Europe,HRV,Europe,HRV-ESP,Europe-Europe,ZAG,SVQ,ZAG->AMS->SVQ,2,ZAG->CDG->SVQ,2,ZAG->AMS->SVQ,2
17711,ZAG-ALG,ZAG,ALG,DZA,Africa,HRV,Europe,HRV-DZA,Europe-Africa,ZAG,ALG,ZAG->MUC->LYS->ALG,3,ZAG->FRA->MRS->ALG,3,ZAG->FRA->ALG,2
17712,ZAG-AGP,ZAG,AGP,ESP,Europe,HRV,Europe,HRV-ESP,Europe-Europe,ZAG,AGP,ZAG->ZRH->AGP,2,ZAG->VIE->AGP,2,ZAG->FRA->AGP,2
17713,ZAG-CRL,ZAG,CRL,BEL,Europe,HRV,Europe,HRV-BEL,Europe-Europe,ZAG,CRL,ZAG->BRU->EDI->CRL,3,ZAG->STR->BGY->CRL,3,ZAG->ZRH->CPH->CRL,3
17714,ZAG-BGY,ZAG,BGY,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,BGY,ZAG->STR->BGY,2,ZAG->VIE->BGY,2,ZAG->VIE->BGY,2
17715,ZAG-SXF,ZAG,SXF,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,SXF,ZAG->VIE->SXF,2,ZAG->VIE->SXF,2,ZAG->BRU->SXF,2
17716,ZAG-HAM,ZAG,HAM,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,HAM,ZAG->ZRH->HAM,2,ZAG->VIE->HAM,2,ZAG->BRU->HAM,2
17717,ZAG-CIA,ZAG,CIA,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,CIA,ZAG->CGN->CIA,2,ZAG->CGN->CIA,2,ZAG->CGN->CIA,2
17718,ZAG-HER,ZAG,HER,GRC,Europe,HRV,Europe,HRV-GRC,Europe-Europe,ZAG,HER,ZAG->AMS->HER,2,ZAG->AMS->HER,2,ZAG->AMS->HER,2
17719,ZAG-MRS,ZAG,MRS,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,MRS,ZAG->MUC->MRS,2,ZAG->MUC->MRS,2,ZAG->MUC->MRS,2
17720,ZAG-LIN,ZAG,LIN,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,LIN,ZAG->BRU->LIN,2,ZAG->BRU->LIN,2,ZAG->AMS->LIN,2
17721,ZAG-XRY,ZAG,XRY,ESP,Europe,HRV,Europe,HRV-ESP,Europe-Europe,ZAG,XRY,ZAG->VIE->DUS->XRY,3,ZAG->CDG->DUS->XRY,3,ZAG->LHR->DUS->XRY,3
17722,ZAG-EIN,ZAG,EIN,NLD,Europe,HRV,Europe,HRV-NLD,Europe-Europe,ZAG,EIN,ZAG->CGN->MAD->EIN,3,ZAG->CGN->STN->EIN,3,ZAG->VIE->BGY->EIN,3
17723,ZAG-HAJ,ZAG,HAJ,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,HAJ,ZAG->VIE->HAJ,2,ZAG->LHR->HAJ,2,ZAG->SVO->HAJ,2
17724,ZAG-STR,ZAG,STR,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,STR,ZAG->STR,1,ZAG->STR,1,ZAG->STR,1
17725,ZAG-LUX,ZAG,LUX,LUX,Europe,HRV,Europe,HRV-LUX,Europe-Europe,ZAG,LUX,ZAG->AMS->STN->LUX,3,ZAG->CDG->LUX,2,ZAG->VIE->LUX,2
17726,ZAG-WMI,ZAG,WMI,POL,Europe,HRV,Europe,HRV-POL,Europe-Europe,ZAG,WMI,ZAG->CGN->WMI,2,ZAG->CGN->WMI,2,ZAG->CGN->WMI,2
17727,ZAG-POZ,ZAG,POZ,POL,Europe,HRV,Europe,HRV-POL,Europe-Europe,ZAG,POZ,ZAG->FRA->STN->POZ,3,ZAG->FRA->STN->POZ,3,ZAG->FRA->CPH->POZ,3
17728,ZAG-NUE,ZAG,NUE,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,NUE,ZAG->ZRH->NUE,2,ZAG->AMS->NUE,2,ZAG->VIE->NUE,2
17729,ZAG-DRS,ZAG,DRS,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,DRS,ZAG->ZRH->DRS,2,ZAG->ZRH->DRS,2,ZAG->BRU->ZRH->DRS,3
17730,ZAG-GDN,ZAG,GDN,POL,Europe,HRV,Europe,HRV-POL,Europe-Europe,ZAG,GDN,ZAG->CDG->LTN->GDN,3,ZAG->CDG->LTN->GDN,3,ZAG->AMS->LTN->GDN,3
17731,ZAG-BOH,ZAG,BOH,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,BOH,ZAG->MUC->AGP->BOH,3,ZAG->FRA->AGP->BOH,3,ZAG->VIE->AGP->BOH,3
17732,ZAG-IAD,ZAG,IAD,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,IAD,ZAG->BRU->IAD,2,ZAG->MUC->IAD,2,ZAG->BRU->IAD,2
17733,ZAG-BOD,ZAG,BOD,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,BOD,ZAG->ZRH->BOD,2,ZAG->BRU->BOD,2,ZAG->MUC->LGW->BOD,3
17734,ZAG-IEV,ZAG,IEV,UKR,Europe,HRV,Europe,HRV-UKR,Europe-Europe,ZAG,IEV,ZAG->VIE->IEV,2,ZAG->STR->FCO->IEV,3,ZAG->VIE->IEV,2
17735,ZAG-PIK,ZAG,PIK,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,PIK,ZAG->BRU->AGP->PIK,3,ZAG->FRA->AGP->PIK,3,ZAG->VIE->AGP->PIK,3
17736,ZAG-AOI,ZAG,AOI,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,AOI,ZAG->CGN->STN->AOI,3,ZAG->AMS->STN->AOI,3,ZAG->FRA->STN->AOI,3
17737,ZAG-BRE,ZAG,BRE,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,BRE,ZAG->ZRH->BRE,2,ZAG->ZRH->BRE,2,ZAG->BRU->AMS->BRE,3
17738,ZAG-TLL,ZAG,TLL,EST,Europe,HRV,Europe,HRV-EST,Europe-Europe,ZAG,TLL,ZAG->FRA->TLL,2,ZAG->FRA->TLL,2,ZAG->SVO->TLL,2
17739,ZAG-LYS,ZAG,LYS,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,LYS,ZAG->MUC->LYS,2,ZAG->MUC->LYS,2,ZAG->MUC->LYS,2
17740,ZAG-TLS,ZAG,TLS,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,TLS,ZAG->AMS->TLS,2,ZAG->CDG->GVA->TLS,3,ZAG->FRA->TLS,2
17741,ZAG-QPA,ZAG,QPA,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,QPA,ZAG->FRA->QPA,2,ZAG->CDG->QPA,2,ZAG->FRA->QPA,2
17742,ZAG-GLA,ZAG,GLA,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,GLA,ZAG->CDG->GLA,2,ZAG->AMS->GLA,2,ZAG->AMS->GLA,2
17743,ZAG-MXP,ZAG,MXP,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,MXP,ZAG->CGN->MXP,2,ZAG->MUC->MXP,2,ZAG->ZRH->MXP,2
17744,ZAG-JER,ZAG,JER,JEY,Europe,HRV,Europe,HRV-JEY,Europe-Europe,ZAG,JER,ZAG->MUC->LGW->JER,3,ZAG->ZRH->LGW->JER,3,ZAG->CDG->LTN->JER,3
17745,ZAG-FLR,ZAG,FLR,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,FLR,ZAG->MUC->FLR,2,ZAG->FRA->FLR,2,ZAG->MUC->FLR,2
17746,ZAG-GRZ,ZAG,GRZ,AUT,Europe,HRV,Europe,HRV-AUT,Europe-Europe,ZAG,GRZ,ZAG->ZRH->GRZ,2,ZAG->FRA->GRZ,2,ZAG->FRA->GRZ,2
17747,ZAG-BRI,ZAG,BRI,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,BRI,ZAG->MUC->BRI,2,ZAG->VIE->BUD->BRI,3,ZAG->SVO->BUD->BRI,3
17748,ZAG-PEG,ZAG,PEG,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,PEG,ZAG->CDG->STN->PEG,3,ZAG->AMS->STN->PEG,3,ZAG->AMS->STN->PEG,3
17749,ZAG-LJU,ZAG,LJU,SVN,Europe,HRV,Europe,HRV-SVN,Europe-Europe,ZAG,LJU,ZAG->FRA->LJU,2,ZAG->SVO->LJU,2,ZAG->AMS->LJU,2
17750,ZAG-NCL,ZAG,NCL,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,NCL,ZAG->AMS->NCL,2,ZAG->AMS->NCL,2,ZAG->VIE->DUB->NCL,3
17751,ZAG-FNC,ZAG,FNC,PRT,Europe,HRV,Europe,HRV-PRT,Europe-Europe,ZAG,FNC,ZAG->STR->LGW->FNC,3,ZAG->AMS->LGW->FNC,3,ZAG->CDG->LGW->FNC,3
17752,ZAG-CLT,ZAG,CLT,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,CLT,ZAG->LHR->CLT,2,ZAG->LHR->CLT,2,ZAG->LHR->CLT,2
17753,ZAG-CWL,ZAG,CWL,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,CWL,ZAG->AMS->CWL,2,ZAG->AMS->CWL,2,ZAG->AMS->CWL,2
17754,ZAG-NOC,ZAG,NOC,IRL,Europe,HRV,Europe,HRV-IRL,Europe-Europe,ZAG,NOC,ZAG->CDG->LGW->NOC,3,ZAG->STR->LGW->NOC,3,ZAG->CGN->STN->NOC,3
17755,ZAG-LED,ZAG,LED,RUS,Europe,HRV,Europe,HRV-RUS,Europe-Europe,ZAG,LED,ZAG->MUC->ARN->LED,3,ZAG->MUC->LED,2,ZAG->CDG->LED,2
17756,ZAG-LBA,ZAG,LBA,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,LBA,ZAG->AMS->LBA,2,ZAG->AMS->LBA,2,ZAG->FRA->AMS->LBA,3
17757,ZAG-IOM,ZAG,IOM,IMN,Europe,HRV,Europe,HRV-IMN,Europe-Europe,ZAG,IOM,ZAG->ZRH->LGW->IOM,3,ZAG->LHR->DUB->IOM,3,ZAG->VIE->DUB->IOM,3
17758,ZAG-NWI,ZAG,NWI,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,NWI,ZAG->AMS->NWI,2,ZAG->AMS->NWI,2,ZAG->VIE->AMS->NWI,3
17759,ZAG-VKO,ZAG,VKO,RUS,Europe,HRV,Europe,HRV-RUS,Europe-Europe,ZAG,VKO,ZAG->VIE->VKO,2,ZAG->VIE->VKO,2,ZAG->VIE->VKO,2
17760,ZAG-EWR,ZAG,EWR,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,EWR,ZAG->CDG->MAN->EWR,3,ZAG->LHR->EWR,2,ZAG->CDG->EDI->EWR,3
17761,ZAG-ORK,ZAG,ORK,IRL,Europe,HRV,Europe,HRV-IRL,Europe-Europe,ZAG,ORK,ZAG->CDG->ORK,2,ZAG->AMS->ORK,2,ZAG->BRU->MAN->ORK,3
17762,ZAG-BTS,ZAG,BTS,SVK,Europe,HRV,Europe,HRV-SVK,Europe-Europe,ZAG,BTS,ZAG->CGN->STN->BTS,3,ZAG->CGN->STN->BTS,3,ZAG->MUC->DUB->BTS,3
17763,ZAG-SEN,ZAG,SEN,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,SEN,ZAG->AMS->SEN,2,ZAG->AMS->SEN,2,ZAG->MUC->AMS->SEN,3
17764,ZAG-RTM,ZAG,RTM,NLD,Europe,HRV,Europe,HRV-NLD,Europe-Europe,ZAG,RTM,ZAG->FRA->ALC->RTM,3,ZAG->AMS->LCY->RTM,3,ZAG->AMS->BCN->RTM,3
17765,ZAG-GOA,ZAG,GOA,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,GOA,ZAG->MUC->GOA,2,ZAG->MUC->GOA,2,ZAG->MUC->GOA,2
17766,ZAG-GCI,ZAG,GCI,GGY,Europe,HRV,Europe,HRV-GGY,Europe-Europe,ZAG,GCI,ZAG->CDG->LGW->GCI,3,ZAG->CDG->LGW->GCI,3,ZAG->ZRH->LGW->GCI,3
17767,ZAG-DFW,ZAG,DFW,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,DFW,ZAG->FRA->DFW,2,ZAG->LHR->DFW,2,ZAG->CDG->DFW,2
17768,ZAG-WRO,ZAG,WRO,POL,Europe,HRV,Europe,HRV-POL,Europe-Europe,ZAG,WRO,ZAG->CGN->STN->WRO,3,ZAG->CDG->LTN->WRO,3,ZAG->ZRH->LTN->WRO,3
17769,ZAG-OPF,ZAG,OPF,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,OPF,ZAG->CDG->OPF,2,ZAG->LHR->OPF,2,ZAG->LHR->OPF,2
17771,ZAG-BMA,ZAG,BMA,SWE,Europe,HRV,Europe,HRV-SWE,Europe-Europe,ZAG,BMA,ZAG->BRU->BMA,2,ZAG->BRU->BMA,2,ZAG->BRU->BMA,2
17772,ZAG-MAA,ZAG,MAA,IND,Asia,HRV,Europe,HRV-IND,Europe-Asia,ZAG,MAA,ZAG->FRA->MAA,2,ZAG->LHR->MAA,2,ZAG->LHR->MAA,2
17774,ZAG-TNG,ZAG,TNG,MAR,Africa,HRV,Europe,HRV-MAR,Europe-Africa,ZAG,TNG,ZAG->CDG->SVQ->TNG,3,ZAG->CDG->SVQ->TNG,3,ZAG->CGN->MAD->TNG,3
17775,ZAG-CCF,ZAG,CCF,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,CCF,ZAG->FRA->PRG->CRL->CCF,4,ZAG->FRA->STN->CCF,3,ZAG->ZRH->BOD->CRL->CCF,4
17776,ZAG-RDU,ZAG,RDU,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,RDU,ZAG->CGN->CDG->RDU,3,ZAG->LHR->RDU,2,ZAG->LHR->RDU,2
17777,ZAG-ANR,ZAG,ANR,BEL,Europe,HRV,Europe,HRV-BEL,Europe-Europe,ZAG,ANR,ZAG->AMS->SEN->ANR,3,ZAG->AMS->SEN->ANR,3,ZAG->BRU->DUB->SEN->ANR,4
17778,ZAG-TRD,ZAG,TRD,NOR,Europe,HRV,Europe,HRV-NOR,Europe-Europe,ZAG,TRD,ZAG->STR->CPH->TRD,3,ZAG->ZRH->LGW->TRD,3,ZAG->AMS->TRD,2
17779,ZAG-FMM,ZAG,FMM,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,FMM,ZAG->AMS->STN->FMM,3,ZAG->MUC->STN->FMM,3,ZAG->CGN->STN->FMM,3
17780,ZAG-TKU,ZAG,TKU,FIN,Europe,HRV,Europe,HRV-FIN,Europe-Europe,ZAG,TKU,ZAG->FRA->ARN->TKU,3,ZAG->CDG->ARN->TKU,3,ZAG->VIE->ARN->TKU,3
17781,ZAG-BHD,ZAG,BHD,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,BHD,ZAG->AMS->BHD,2,ZAG->BRU->AMS->BHD,3,ZAG->AMS->BHD,2
17782,ZAG-SHJ,ZAG,SHJ,ARE,Asia,HRV,Europe,HRV-ARE,Europe-Asia,ZAG,SHJ,ZAG->MUC->DME->SHJ,3,ZAG->CGN->PRG->DUS->DME->SHJ,5,ZAG->CGN->ARN->DME->SHJ,4
17783,ZAG-DTM,ZAG,DTM,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,DTM,ZAG->VIE->DTM,2,ZAG->VIE->DTM,2,ZAG->VIE->DTM,2
17784,ZAG-BLR,ZAG,BLR,IND,Asia,HRV,Europe,HRV-IND,Europe-Asia,ZAG,BLR,ZAG->CDG->BLR,2,ZAG->CDG->BLR,2,ZAG->CDG->BLR,2
17785,ZAG-BLR,ZAG,BLR,IND,Asia,HRV,Europe,HRV-IND,Europe-Asia,ZAG,BLR,ZAG->CDG->BLR,2,ZAG->CDG->BLR,2,ZAG->CDG->BLR,2
17786,ZAG-YOW,ZAG,YOW,CAN,Americas,HRV,Europe,HRV-CAN,Europe-Americas,ZAG,YOW,ZAG->LHR->YOW,2,ZAG->LHR->YOW,2,ZAG->CDG->LHR->YOW,3
17787,ZAG-ZAZ,ZAG,ZAZ,ESP,Europe,HRV,Europe,HRV-ESP,Europe-Europe,ZAG,ZAZ,ZAG->CDG->STN->ZAZ,3,ZAG->MUC->STN->ZAZ,3,ZAG->CGN->STN->ZAZ,3
17788,ZAG-SWF,ZAG,SWF,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,SWF,ZAG->ZRH->DUB->SWF,3,ZAG->BRU->DUB->SWF,3,ZAG->STR->DUB->SWF,3
17789,ZAG-BDA,ZAG,BDA,BMU,Americas,HRV,Europe,HRV-BMU,Europe-Americas,ZAG,BDA,ZAG->ZRH->LGW->BDA,3,ZAG->ZRH->LGW->BDA,3,ZAG->MUC->LGW->BDA,3
17790,ZAG-HUY,ZAG,HUY,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,HUY,ZAG->AMS->HUY,2,ZAG->STR->AMS->HUY,3,ZAG->AMS->HUY,2
17791,ZAG-KIR,ZAG,KIR,IRL,Europe,HRV,Europe,HRV-IRL,Europe-Europe,ZAG,KIR,ZAG->MUC->LTN->KIR,3,ZAG->MUC->LTN->KIR,3,ZAG->ZRH->LTN->KIR,3
17792,ZAG-BWI,ZAG,BWI,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,BWI,ZAG->LHR->BWI,2,ZAG->LHR->BWI,2,ZAG->LHR->BWI,2
17793,ZAG-TMP,ZAG,TMP,FIN,Europe,HRV,Europe,HRV-FIN,Europe-Europe,ZAG,TMP,ZAG->ZRH->ARN->TMP,3,ZAG->CDG->ARN->TMP,3,ZAG->VIE->ARN->TMP,3
17794,ZAG-RNS,ZAG,RNS,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,RNS,ZAG->AMS->SEN->RNS,3,ZAG->CDG->DUB->SEN->RNS,4,ZAG->LHR->DUB->SEN->RNS,4
17795,ZAG-LBG,ZAG,LBG,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,LBG,ZAG->MUC->GVA->LBG,3,ZAG->CDG->GVA->LBG,3,ZAG->MUC->GVA->LBG,3
17796,ZAG-NRN,ZAG,NRN,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,NRN,ZAG->LHR->AGP->NRN,3,ZAG->ZRH->AGP->NRN,3,ZAG->CDG->AGP->NRN,3
17797,ZAG-GRQ,ZAG,GRQ,NLD,Europe,HRV,Europe,HRV-NLD,Europe-Europe,ZAG,GRQ,ZAG->AMS->SEN->GRQ,3,ZAG->AMS->SEN->GRQ,3,ZAG->BRU->DUB->SEN->GRQ,4
17798,ZAG-VVI,ZAG,VVI,BOL,Americas,HRV,Europe,HRV-BOL,Europe-Americas,ZAG,VVI,ZAG->CDG->MAD->VVI,3,ZAG->MUC->MAD->VVI,3,ZAG->BRU->MAD->VVI,3
17799,ZAG-CSF,ZAG,CSF,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,CSF,ZAG->CGN->CIA->CSF,3,ZAG->VIE->MAD->CIA->CSF,4,ZAG->CGN->CIA->CSF,3
17800,ZAG-MPL,ZAG,MPL,FRA,Europe,HRV,Europe,HRV-FRA,Europe-Europe,ZAG,MPL,ZAG->VIE->LGW->MPL,3,ZAG->AMS->LGW->MPL,3,ZAG->MUC->LGW->MPL,3
17801,ZAG-XFW,ZAG,XFW,DEU,Europe,HRV,Europe,HRV-DEU,Europe-Europe,ZAG,XFW,ZAG->FRA->TLS->XFW,3,ZAG->BRU->TLS->XFW,3,ZAG->FRA->TLS->XFW,3
17802,ZAG-MHQ,ZAG,MHQ,FIN,Europe,HRV,Europe,HRV-FIN,Europe-Europe,ZAG,MHQ,ZAG->FRA->ARN->MHQ,3,ZAG->VIE->ARN->MHQ,3,ZAG->MUC->ARN->MHQ,3
17803,ZAG-PDX,ZAG,PDX,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,PDX,ZAG->AMS->PDX,2,ZAG->AMS->PDX,2,ZAG->AMS->PDX,2
17804,ZAG-BDS,ZAG,BDS,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,BDS,ZAG->FRA->GVA->BDS,3,ZAG->BRU->GVA->BDS,3,ZAG->BRU->GVA->BDS,3
17805,ZAG-TPE,ZAG,TPE,TWN,Asia,HRV,Europe,HRV-TWN,Europe-Asia,ZAG,TPE,ZAG->VIE->TPE,2,ZAG->AMS->TPE,2,ZAG->VIE->TPE,2
17806,ZAG-IND,ZAG,IND,USA,Americas,HRV,Europe,HRV-USA,Europe-Americas,ZAG,IND,ZAG->CDG->IND,2,ZAG->CDG->IND,2,ZAG->CDG->IND,2
17807,ZAG-VBS,ZAG,VBS,ITA,Europe,HRV,Europe,HRV-ITA,Europe-Europe,ZAG,VBS,ZAG->STR->LGW->VBS,3,ZAG->CDG->LGW->VBS,3,ZAG->AMS->LGW->VBS,3
17808,ZAG-FAB,ZAG,FAB,GBR,Europe,HRV,Europe,HRV-GBR,Europe-Europe,ZAG,FAB,ZAG->LHR->GVA->LBG->FAB,4,ZAG->LHR->GVA->LBG->FAB,4,ZAG->FRA->GVA->LBG->FAB,4
17809,ZAG-SNN,ZAG,SNN,IRL,Europe,HRV,Europe,HRV-IRL,Europe-Europe,ZAG,SNN,ZAG->CDG->STN->SNN,3,ZAG->LHR->SNN,2,ZAG->FRA->BHX->SNN,3
17810,ZAG-YHU,ZAG,YHU,CAN,Americas,HRV,Europe,HRV-CAN,Europe-Americas,ZAG,YHU,ZAG->CDG->YHU,2,ZAG->CDG->YHU,2,ZAG->CDG->YHU,2
17811,CIA-ZRH,CIA,ZRH,CHE,Europe,ITA,Europe,ITA-CHE,Europe-Europe,CIA,ZRH,CIA->CGN->ZRH,2,CIA->BUD->ZRH,2,CIA->BUD->ZRH,2
17812,CIA-FRA,CIA,FRA,DEU,Europe,ITA,Europe,ITA-DEU,Europe-Europe,CIA,FRA,CIA->CGN->MAN->FRA,3,CIA->BUD->FRA,2,CIA->ATH->FRA,2
17813,CIA-CDG,CIA,CDG,FRA,Europe,ITA,Europe,ITA-FRA,Europe-Europe,CIA,CDG,CIA->STN->CDG,2,CIA->LIS->CDG,2,CIA->STN->CDG,2
17814,CIA-GRU,CIA,GRU,BRA,Americas,ITA,Europe,ITA-BRA,Europe-Americas,CIA,GRU,CIA->LIS->GRU,2,CIA->LIS->GRU,2,CIA->BUD->LHR->GRU,3
17815,CIA-LAX,CIA,LAX,USA,Americas,ITA,Europe,ITA-USA,Europe-Americas,CIA,LAX,CIA->NUE->ZRH->LAX,3,CIA->ATH->CDG->LAX,3,CIA->NUE->ZRH->LAX,3
17816,CIA-EZE,CIA,EZE,ARG,Americas,ITA,Europe,ITA-ARG,Europe-Americas,CIA,EZE,CIA->MAD->EZE,2,CIA->BUD->CDG->EZE,3,CIA->CGN->LHR->EZE,3
17817,CIA-SJC,CIA,SJC,USA,Americas,ITA,Europe,ITA-USA,Europe-Americas,CIA,SJC,CIA->CGN->LHR->SJC,3,CIA->CGN->LHR->SJC,3,CIA->CGN->LHR->SJC,3
17818,CIA-SFO,CIA,SFO,USA,Americas,ITA,Europe,ITA-USA,Europe-Americas,CIA,SFO,CIA->CPH->SFO,2,CIA->CPH->SFO,2,CIA->NUE->AMS->SFO,3
17819,CIA-PHX,CIA,PHX,USA,Americas,ITA,Europe,ITA-USA,Europe-Americas,CIA,PHX,CIA->CGN->LHR->PHX,3,CIA->BUD->LHR->PHX,3,CIA->LIS->LHR->PHX,3
